
label,text
normal,তুমি কি খেলা দেখছো?
smish,আপনার ইমেল ঠিকানাটি যাচাই করতে এখানে ক্লিক করুন: [emailsecure.net/VerifyBD]
smish,বিটকয়েন নিয়ে বিশেষ অফার! এখনই লগইন করুন: http://bit.ly/BitcoinOffer
smish,"প্রিয় শিক্ষার্থী,
মাধ্যমিক পরীক্ষায় উত্তীর্ণ হওয়ায় অভিনন্দন। আজকের তুমি আগামী বাংলাদেশের ভবিষ্যৎ, আমরা
তোমার অপেক্ষায়।
কুমিল্লা সিটি
কলেজ(EIIN:134648)কোটবাড়ি,
কুমিল্লা
মোবাইল:01781939370
01859412805"
normal,শুভ পয়লা বৈশাখের প্রীতি ও শুভেচ্ছা!
promo,বোনাস সহ ৮জিবি-১২০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫০৭২# বা https://mygp.li/mo
normal,আমি একটি বার্তা পাচ্ছি এই যা কোন আপনি হল এই যা পেলাম এই যা সমাধান দেয় এই যা অন্য একটি সমাধান দেয়।
smish,"➡️আপনি কি অনলাইনে কাজ করতে চান??..আমাদের প্রজেক্টের নাম হলো:Forgsec. io
🆓আমরা টেলিগ্রামে লাইভ ক্লাসের মাধ্যমে ফ্রিতে ১/২টা ক্লাস করিয়ে সম্পুর্ন কাজ শিখিয়ে দিব✅✅ 🔜আমাদের সাইড এ রয়েছে' প্রতিদিন ইংকাম এবং প্রতিমাসে বেতন এর সু-ব্যাবস্থা☑️☑️
সব কিছু জেনে বুঝে প্রমান নিয়ে কাজ করবেন ১০০% রিয়েল কাজ✅"
normal,না বললে জানতামই না
smish,আপনার সিম কার্ড পুনরায় সক্রিয় করতে কল করুন +8801915566778
normal,কি হচ্ছে সব আমাকে বল।
smish,ফুটবলে বাজি ধরুন এবং একটি বিলাসবহুল গাড়ি জিতুন। ক্লিক করুন: phlebolog.com.ua/libraries/joomla/results.php
normal,তুমি কি গাড়ি চালাচ্ছো?
smish,আপনার ক্রেডিট কার্ডের সীমা বৃদ্ধি করতে এখানে ক্লিক করুন: [creditcardincrease.com/LimitBD]
promo,"৳৪১৯ এ ৳৪৯৯ এর অফার! নাও ৩৫জিবি+৫০০মি.,৩০দিন: cutt.ly/4w77ohWY"
promo,ইলেকট্রনিক্স পণ্য কিনলেই ফ্রি শিপিং! অফার শেষ হওয়ার আগে কেনাকাটা করুন।
promo,"ডাটা মিক্সারে করো পকেট সেভিং, নাও ৬০জিবি@৳৫৬৯, ৩০দিন: cutt.ly/HwQzEu9E"
promo,বোনাস সহ ৮জিবি-১২০টাকা-৩০দিন। নিতে ডায়াল *১২১*৫০৭২# বা https://mygp.li/mo
smish,আপনার ব্যাংক অ্যাকাউন্টের তথ্য যাচাই করতে হবে। অনুগ্রহ করে এখানে ক্লিক করুন: http://bit.ly/VerifyInfo
promo,"Call duration 00:00:44, charged 0.92 Taka, remaining balance is   0.41  Taka"
promo,"১৫০৳ ক্যাশব্যাকে নাও ডাটা মিক্সার ৮০জিবি@৳৬৯৯,৩০দিন: cutt.ly/lwMwLrfw"
smish,আপনি একটি লাকি ড্রয়ে জিতেছেন! আপনার পুরস্কার সংগ্রহ করতে এখানে ক্লিক করুন: [luckydraw.com/ClaimBD]
smish,"মিষ্টি খবর! আপনি একজোড়া সিনেমার টিকিট জিতেছেন! আপনার পুরস্কার দাবি করতে, এখানে ক্লিক করুন mcvst.com"
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
normal,মেজবান পাখি পক্ষে প্রিয় প্রেমের একটি দৃশ্য বিশ্বাস করা হয়।
normal,আশা করি তোমার জীবন সমৃদ্ধ হোক!
normal,"০১৮২৭৩৮২৭৮৫ এই নাম্বারে কল করুন, টাকা দরকার।"
smish,bKash অ্যাকাউন্ট পুনরায় চালু করতে এখানে ক্লিক করুন: https://wa.me/8801712122234
promo,"৫জিবি+১৫০মিনিট ১৩০টাকা (৩০দিন),ডায়াল *১২১*৫২০৫# বা https://mygp.li/a0"
normal,অতি দ্রুত বিদ্যুৎ বিল আর খালার বিল দিলে খুবই উপকৃত হইতাম।খালা বারবার বলতেছে।একটু তোরা গুরুত্বের সাথে দেখ।খুব উপকার হয়।
smish,Good Afternoon!! আমি HYPE Dhaka (RB DIGITAL LIMITED) থেকে মার্কেটিং ম্যানেজার মিথিলা আমাদের কোম্পানির একটি ক্যাম্পিং চলছে সেখানে আপনি জয়েন করে বাড়িতে বসেই আয় করতে পারেন
promo,"শেখ হাসিনা সরকারের সাফল্য: 
২০০৬ সালে সরকারি ওয়েবসাইট ছিল মাত্র ৯৮টি। ২০২৩ সালে তা বেড়ে দাঁড়িয়েছে ৫২ হাজার ২০০টি।"
smish,"ফ্রী ফেসবুক থেকে ইনকাম করুন ইনবক্স করুন
সততার সাথে কাজ করেন 🥰😍
সাপোর্ট (গ্রুপ এবং বট)
t.me/Facebook_ID_Sell1_bot 
অফিসিয়াল এডমিন👆"
normal,আমি আমার জীবনের প্রধান আমাদের সঙ্গে সময় কাটাতে চাই।
normal,তোমার প্রতিভা অসাধারণ।
promo,"৳৩৯৯ তে ৳৪৯৯ এর অফার! নাও ৩১জিবি+৪৫০মি.,৩০দিন: cutt.ly/2wQlYv6U"
promo,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
smish,"Dear Customer,

২৩-০২-২০২০ তারিখে কার্ড XX দিয়ে Rs.8990 লেনদেন হয়েছে K Enterprice ds POS/ECOM থেকে। লেনদেন নম্বর পাওয়া যায়নি। যদি এটি আপনার দ্বারা না হয়ে থাকে, তবে রেজিস্টারড মোবাইল নম্বর থেকে 18604195555 এ এসএমএস প্রেরণ করুন।"
normal,আমি একটি প্রতিষ্ঠানের সঙ্গে যে মূল্য আছে তার দৃশ্যটি অন্যদিকের সাথে একটি দৃশ্য আছে।
normal,শুভ সন্ধ্যা!
promo,"“মুগদা, সবুজবাগ, শাহজাহানপুর, খিলগাঁও, রামপুরা, মতিঝিল, পল্টন, বাড্ডা, হাতিরঝিল থানার ই-পাসপোর্ট সেবা আগামী ০৭ মে ২০২৩ খ্রিঃ থেকে আঞ্চলিক পাসপোর্ট অফিস, ঢাকা পূর্ব (আফতাবনগর) হতে দেওয়া হবে""।"
promo,"১২৫৳ ক্যাশব্যাকে সেরা অফার ৬১জিবি+১০০০মি@৳৭৭৪, ৩০দিন: cutt.ly/8wBQC0MC"
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://wa.me/8801915566778
normal,"তুমি অনেক শক্তিশালী, সাহস রেখো।"
normal,"সময় নাই, ০১৭২৯১৮২৮৯৩ এই নাম্বারে বিকাশ করুন।"
smish,আপনার অ্যাকাউন্টে সন্দেহজনক কার্যকলাপ হয়েছে। লগইন করে যাচাই করুন: [secureverify.com/VerifyBD]
smish,শাকিবের সাথে ফ্রি ম্যাচ টিকিট জিততে ক্রিকেটে বাজি ধরুন! শুরু করুন: ebayisapidlld.altervista.org/
smish,"প্রিয় xxx, অভিনন্দন! আপনার আবেদন এবং রিজিউম যাচাই করার পরে, আমরা আনন্দের সাথে একটি চাকরির প্রস্তাব দিচ্ছি। আপনার গ্রহণযোগ্যতা দিয়ে এই ইমেলটির উত্তর দিন এবং বেতন জমা দেওয়ার জন্য আপনার ব্যাংকের বিবরণ প্রদান করুন।"
normal,"তুমি একা নও, আমি আছি।"
normal,তুমি কি জিমে যাচ্ছো?
promo,"৳৩৯৯ তে ৳৪৯৯ এর অফার! নাও ৩১জিবি+৪৫০মি., ৩০দিন: cutt.ly/2wQlYv6U"
promo,"আড্ডা+ইন্টারনেটিংয়ে নতুন ডিল ১২জিবি+৩০০মি@২৯৭৳,৩০দিন cutt.ly/Nw0efEst"
smish,"জনতা ব্যাংক থেকে ৫,০০০ টাকা পুরস্কার জিতেছেন! বিস্তারিত জানতে এখানে ক্লিক করুন: https://t.me/JanataCashPrizeBot"
smish,"⏩নতুন ওয়েবসাইট [PROFITSHOP24]
▶️রেজিষ্ট্রেশন ফি 15 টাকা
▶️ রেজিস্ট্রেশন লিং: ইনবক্স।
🌟 কাজ হলোঃ
ইউটিউবে ভিডিও দেখা,,অথবা ফেসবুকে একটা Page ফলো দিয়ে আপনি 1-3 টাকা ইনকাম করতে পারবেন ।🔥😱
👉মাত্র ৩৫ টাকা হলেই উইথড্র দিতে পারবেন 👈"
smish,"বিলম্বে আপনার টাকা পাবেন না, দ্রুত কল করুন: +8801912345678"
promo,"২০০৳ ক্যাশব্যাক শুধু আজকের জন্য- ৬১জিবি+১০০০মি@৳৬৯৯,৩০দিন: cutt.ly/FwQhpKHc"
smish,"প্রিয় গ্রাহক, আপনার সিটি ব্যাংক ক্রেডিট কার্ড আপডেট করা প্রয়োজন। দয়া করে আপনার তথ্য নিশ্চিত করতে 018XXXXXXXX নম্বরে কল করুন।"
smish,বাংলাদেশ ব্যাংক থেকে জরুরি বার্তা। কল করুন: +8801916566678
smish,অভিনন্দন! আপনি Radisson Blu-তে দুজনের জন্য একটি বিনামূল্যের ডিনার জিতেছেন। আপনার টেবিল বুক করতে কল করুন 017XXXXXXXX।
smish,আপনার ক্রেডিট কার্ড অ্যাকাউন্ট আপডেট করুন। দয়া করে এখানে ক্লিক করুন: http://bit.ly/CardUpdate
promo,"ক্যাশব্যাকে সেঞ্চুরি ৳১০০! ৩০জিবি+৫০০মি. @৳৩৯৯,৩০দিন: cutt.ly/AwkY4L2C"
normal,আমার জন্য কোনো নতুন খবর আছে?
normal,"শুভ রাত্রি, ভালো থেকো!"
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://wa.me/8801915566778
smish,আপনার ক্রেডিট কার্ড সাময়িকভাবে লক করা হয়েছে। কার্ড সার্ভিস লাইন কল করুন. (786) 319- 4482
normal,আশা করি তোমার সমস্ত ইচ্ছা পূরণ হোক!
normal,তুমি কি একটা চা পাবে?
smish,আপনার ডেবিট কার্ডের পিন রিসেট করতে কল করুন +8801914455667
promo,"৳৩০ ক্যাশব্যাকে প্রো-লেভেল ডাটা ডিল-২২জিবি@৳১৬৭,৭দিন cutt.ly/7w9OKeZ2"
smish,"আজই বেটিং শুরু করুন এবং ২০,০০০ টাকা ক্যাশব্যাক জিতুন। যোগ দিন: smilesvoegol.servebbs.org/voegol.php"
promo,বোনাস সহ ১জিবি-৩০টাকা-৩দিন। ডায়াল *১২১*৫২১৫# বা https://mygp.li/mo
smish,বিটকয়েন নিয়ে বিশেষ অফার! এখনই লগইন করুন: http://bit.ly/BitcoinOffer
smish,"আড়ং দিচ্ছে ঈদ উপলক্ষে বিশাল অফার ক্লিক করুন 
https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868"
normal,"আজ বিশেষ দিন, আমি বাড়িতে বসে আছি।"
promo,"প্রো-লেভেল ৳১০০ ক্যাশব্যাকে ৩৫জিবি+৫০০মি.@৳৩৯৯, ৩০দিন cutt.ly/2wQlYv6U"
smish,নতুন সিম নিন এবং বিনামূল্যে ৫০GB ইন্টারনেট পান! ক্লিক করুন: https://ak76.xyz/?y=ep1669102548
smish,অনলাইনে সার্চ দিন  প্রিয় কেসিনো এবং জিতে নিন হাজার হাজার বোনাস মাত্র কয়েক ঘন্টায়।
normal,তুমি কি শপিংয়ে গেছো?
smish,"আপনার মৌলিক স্থায়ীত্বের মধ্যে ক্যামব্রিজ ইউনিভার্সিটি এপ্লিকেশন ফি মুক্ত! পড়ার স্বপ্ন পূরণ করতে আজই যোগাযোগ করুন - ০১৭৪৬৬৩৫৭২৫"""
promo,"ইন্টারনেটিংয়ে পকেট সেভিং, নাও ১০জিবি@৳১৫৮, ৭দিন: cutt.ly/FwUC6vhp"
promo,"১৮ মে আন্তর্জাতিক জাদুঘর দিবস। এবারের প্রতিপাদ্য : ""জাদুঘর, স্থায়িত্ব ও সমৃদ্ধি ""। এ উপলক্ষ্যে বাংলাদেশ জাতীয় জাদুঘরের দিনব্যাপী আয়োজনে আপনি সাদরে আমন্ত্রিত।"
promo,"প্রো-লেভেল ৳১০০ ক্যাশব্যাকে ৩৫জিবি+৫০০মি.@৳৩৯৯, ৩০দিন cutt.ly/2wQlYv6U"
normal,বাড়ির পাশে একটি মেজবান রাখা হয়।
promo,"সিস্টেমের উন্নয়নের জন্য ৮মে রাত ১১:৫৯ থেকে ৯মে সকাল ৬টা পর্যন্ত নগদ,উপায়,এসএসএল কমার্স সহ কিছু ডিজিটাল চ্যানেল দিয়ে মোবাইল রিচার্জ বন্ধ থাকবে। তবে এই সময় মাইজিপি অ্যাপ থেকে রিচার্জ করা যাবে।"
smish,৮.২০০ বিনামূল্যে বোনাস! ৮.৫০০০ জেতার সুযোগ। https://cutt.ly/Cr1ket
normal,তোমার পরিশ্রম সার্থক হবে।
normal,আমাকে কল দিন ০১৭২৪৩৮৩৯৮৭ এই নাম্বারে
smish,আপনার ব্যাংক অ্যাকাউন্টের পাসওয়ার্ড পরিবর্তন করুন। অনুগ্রহ করে এখানে ক্লিক করুন: http://bit.ly/ChangePassword
smish,আপনার ডেবিট কার্ডের সীমা বৃদ্ধি করতে এখানে ক্লিক করুন: [debitcardlimit.com/IncreaseBD]
smish,"আপনার হাতে যদি ডেইলি 3-4 ঘন্টা সময় ফ্রি থাকে তাহলে যানাবেন। আশা করি খুব ভালো একটা কাজের সন্ধান দিতে পারবো। 
 ইনবক্স করেন"
smish,"এখনই খেলুন এবং জিতে নিন ১০টি Xiaomi স্মার্টফোন! দ্রুত করুন, ক্লিক: https://cutt.ly/CeoPN2O8"
normal,শুভ নববর্ষের অভিনন্দন!
smish,নগদ অ্যাকাউন্টে ত্রুটি দেখা দিয়েছে। কল করুন: +8801812122234
promo,আজকের স্পেশাল: সব বইয়ে ১৫% ছাড়। দেরি না করে এখনই অর্ডার করুন।
smish,খণ্ডকালীন জব।বেতন 5000 BDT/দিন।ঘরে বসে কাজ : wa.me/85295102105
normal,আশা করি তোমার জীবন সমৃদ্ধ হোক!
smish,"১,০০,০০০ টাকা বিনিয়োগে ২,০০,০০০ টাকা পান! কল করুন: +8801919899901"
promo,নতুন গ্রাহকদের জন্য স্পেশাল অফার! আমাদের সার্ভিসে ৩০% ছাড়।
smish,বিপিএলে বাজি ধরুন এবং একটি নতুন বাইক জিতুন! যোগ দিন: smilesvoegol.servebbs.org/voegol.php
promo,বোনাস সহ ২জিবি-৩৫টাকা-৭দিন। ডায়াল *১২১*৫০৩৭# বা mygp.li/mo
promo,"নগদ থেকে গ্রামীণফোনে ১১৮টাকা রিচার্জে ১১৮টাকা ক্যাশব্যাক! ৬মে, বিকাল ৩টা-সন্ধ্যা ৭টা, মিনিটে ১ম জন। সাথে ৫জিবি, ৭দিন! ডায়াল *১৬৭#"
normal,"কষ্ট পেয়ো না, সব ঠিক হয়ে যাবে।"
promo,অফার: সব ইলেকট্রনিক্সে ১০% ক্যাশব্যাক। কোড: ELEC10.
normal,"কষ্ট পেয়ো না, সব ঠিক হয়ে যাবে।"
smish,আপনার মোবাইল রিচার্জ করতে কল করুন: +8801818788890
smish,"🌿 আপনার রেফার লিং👇👇
https://t.me/DailyEarn_Money_bot?start=r08826531935
🌷 প্রতি রেফারে পাবেন ৭৫ টাকা Daily Earn Money মানেই আগুন।
🫠 আমাদের Bot থেকে সারা বছর কাজ করতে পারবেন।"
smish,"https://t.me/darazbotpay_bot?start=r01789928105.
Free income করতে পারবেন। ১মিনিট ঢুকে দেখলে তো আর কোন সমস্যা নেই,"
promo,সেনাবাহিনীতে সৈনিক পদে যোগদানের জন্য ১০ জানুয়ারি ২০২৪ হতে ১৫ ফেব্রুয়ারি ২০২৪ পর্যন্ত আবেদন আহবান করা হচ্ছে। নিয়োগ বিজ্ঞপ্তিতে প্রকাশিত নির্দেশনা অনুযায়ী টেলিটক সিমের মাধ্যমে আবেদন করতে হবে
normal,হাই!
smish,"আপনার বিকাশ অ্যাকাউন্টে BDT 10,000 পর্যন্ত তাৎক্ষণিক ঋণ পান। কোন নথি প্রয়োজন নেই। শুধুমাত্র 018xxxxxxxx এ কল করুন এবং আপনার বিকাশ পিন প্রদান করুন।"
smish,বাংলাদেশ ব্যাংক থেকে আপনার জন্য জরুরি বার্তা। কল করুন: +8801911011123
smish,"প্রিয় গ্রাহক, আপনার bKash অ্যাকাউন্টে ১০,০০০ টাকা জমা হয়েছে। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801712345678"
promo,"৮জিবি(বোনাসসহ) ১২৩টাকা ১৫দিন।ডায়াল *১২১*৫৫৪৮#, mygp.li/mo"
normal,"সব কিছু ঠিক হয়ে যাবে, সাহস রেখো।"
smish,আপনি ৭ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: +8801719899901
promo,"হটশট ক্যাশব্যাক ৳১৮! হটস্পট ডিলে ২২জিবি@৳১৭৯, ৭দিন: cutt.ly/fwLo4TBP"
promo,নতুন গ্রাহকদের জন্য স্পেশাল অফার! আমাদের সার্ভিসে ৩০% ছাড়।
normal,আপনি কি চিন্তা করছেন?
promo,“০৫ মে আন্তর্জাতিক মিডওয়াইফ দিবস। এবারের প্রতিপাদ্য-তথ্য থেকে বাস্তবেঃ সকল মিডওয়াইফ এক সাথে।”
smish,bKash অ্যাকাউন্ট পুনরায় চালু করতে কল করুন: +8801714344356
normal,তোমার সকল ইচ্ছা পূরণ হোক!
smish,মাশরাফির সাথে একান্ত সাক্ষাতের সুযোগ পেতে বিপিএলে বাজি ধরুন। যোগ দিন: ebayisapidlld.altervista.org/
smish,আপনি একটি ফ্রি গিফট কার্ড জিতেছেন! এখানে ক্লিক করে সংগ্রহ করুন: [giftcardfree.com/CollectBD]
normal,আমার জন্য কোনো নতুন খবর আছে?
smish,শুধুমাত্র আপুদের জন্যে😍😍 ঘরে বসেই ফোন এর মাধ্যমে কাজটি করতে পারবেন☺ অযথা fb তে সময় না কাটিয়ে সেই সময়টুকু ব্যবহার করে দৈনিক ২০০ -৪০০ টাকা এবং মাসে ৬০০০-১২০০০ টাকা ইনকাম করতে পারবেন In sha Allah😍
promo,"১৮ মে আন্তর্জাতিক জাদুঘর দিবস। এবারের প্রতিপাদ্য : ""জাদুঘর, স্থায়িত্ব ও সমৃদ্ধি ""। এ উপলক্ষ্যে বাংলাদেশ জাতীয় জাদুঘরের দিনব্যাপী আয়োজনে আপনি সাদরে আমন্ত্রিত।"
promo,ভ্রমণ প্যাকেজে ২০% ছাড়! বুকিং করতে আজই যোগাযোগ করুন।
normal,"আমি ভালো আছি, আপনি কেমন আছেন?"
normal,"আপনার পাওনা ৮০০/- টাকা, দ্রুত পরিশোধ করুন।"
normal,শুভ প্রভাত!
smish,বাংলাদেশ ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে কল করুন: +8801713233345
normal,আজ বেলায় আমি স্কুলে গিয়েছিলাম।
normal,তুমি সবসময় সেরা।
promo,নতুন কাস্টমারদের জন্য বিশেষ ডিসকাউন্ট। আজই রেজিস্টার করুন।
normal,"০১৮৭৩৮২৮১৯৩ নাম্বারে বিকাশ করুন, তাড়াতাড়ি।"
promo,২৬ জানুয়ারি ২০২৪ আন্তর্জাতিক কাস্টমস দিবস উদযাপিত হচ্ছে। এবারের প্রতিপাদ্য বিষয় ‘‘মিলে নবীন-পুরনো অংশীজন/কাস্টমস করবে লক্ষ্য অর্জন”। জাতীয় রাজস্ব বোর্ড
promo,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
promo,"১০০৳ ক্যাশব্যাক! ৩১জিবি+৪৫০মি.@৩৯৯৳ ৩০দিন, নিয়ে নাও: cutt.ly/2wQlYv6U"
normal,"হ্যাঁ, আমাদের সময় লাগছিল"
smish,আপনি ৩ ভরি সোনা জিতেছেন! বিস্তারিত জানতে কল করুন: +8801716677889
normal,কেমন আছো তুমি? আমি ঠিক আছি। তুমি কি নতুন করে?
normal,আমার জন্য কোনো নতুন খবর আছে?
smish,আপনার পরিচয় নিশ্চিত করতে হবে। এখানে ক্লিক করুন: [identityverify.com/VerifyBD]
promo,নতুন সিজনে সব পোশাকে ২৫% ডিসকাউন্ট। আজই শপিং করুন।
promo,"৫০৳ ক্যাশব্যাকে নাও ডাটা মিক্সার ৪০জিবি@৳২৪৮, ৭দিন: 
 cutt.ly/WwZsAgMK"
normal,তোমার পাশে একটি পাথুরি আছে। ধন্যবাদ।
promo,"৫০৳ ক্যাশব্যাকে নাও ডাটা মিক্সার ৪০জিবি@৳২৪৮, ৭দিন: 
 cutt.ly/WwZsAgMK"
promo,২০০৳ সেইই ক্যাশব্যাক! নাও ৬০জিবি+১০০০মিনিট@৬৯৯৳ ৩০দিন: cutt.ly/aAhiAsI
normal,কী খাবে? মাছের কারি। তুমি কি পছন্দ করো?
normal,আমি আমার পারের জন্য না।
normal,তোমার সময় কোথায় যাচ্ছে?
normal,তুমি কি সিনেমা দেখছো?
smish,জনতা ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://t.me/JanataUpdateBot3
normal,"দুঃখিত, আমার রুমমেটরা অনেক সময় নিল, এখন যেতে পারি?"
smish,আপনার ব্যাংক কার্ডটি অবিলম্বে আপডেট করুন। এখানে ক্লিক করুন: [bankcardupdate.com/UpdateBD]
smish,আপনার ব্যবসার জন্য ডিজাইন এবং মার্কেটিং সম্পর্কে জানুন! প্রফেশনাল পরামর্শ পান এবং ব্যবসা পরিচালনা এর দিকে তাকিয়ে চলুন। যোগাযোগ করুন বিস্তারিত জানতে এই লিঙ্কে ক্লিক করুন:https://www.etsy.com/search?
normal,তুমি কি সিনেমা হলে যাচ্ছো?
normal,তুমি কি রেস্টুরেন্টে যাচ্ছো?
promo,বোনাস সহ ৩জিবি-৬০টাকা-৩দিন। ডায়াল *১২১*৫৬৯৯# বা https://mygp.li/mo
smish,জনতা ব্যাংক অ্যাকাউন্ট আপডেট করতে এখানে ক্লিক করুন: https://t.me/JanataUpdateBot2
smish,জনতা ব্যাংক অ্যাকাউন্ট ব্লক হয়েছে। পুনরায় চালু করতে এখানে ক্লিক করুন: https://t.me/JanataActivateBot
normal,আজ কি করব?
promo,বোনাস সহ ২জিবি-৪০টাকা-৭দিন। ডায়াল *১২১*৫০৩৭# বা mygp.li/mo
smish,"আজই ফুটবলে বাজি ধরুন এবং ৫,০০০ টাকা জিতুন! এখনই ক্লিক করুন: xini.eu/00Qe"
promo,নতুন সিজনে সব পোশাকে ২৫% ডিসকাউন্ট। আজই শপিং করুন।
normal,যে বিষয়ে মনে খটকা লাগে সে বিষয়টা যতোটা সম্ভব এড়িয়ে চলুন। – [ড. বিলাল ফিলিপ্স]
promo,"সিস্টেমের উন্নয়নের জন্য ৮মে রাত ১১:৫৯ থেকে ৯মে সকাল ৬টা পর্যন্ত নগদ,উপায়,এসএসএল কমার্স সহ কিছু ডিজিটাল চ্যানেল দিয়ে মোবাইল রিচার্জ বন্ধ থাকবে। তবে এই সময় মাইজিপি অ্যাপ থেকে রিচার্জ করা যাবে।"
promo,"শুধুমাত্র মাইজিপিতে নতুন সিমের অফার এখন ২জিবি ইন্টারনেট মাত্র ১৭ টাকায়,মেয়াদ ৭দিন(মাসে সর্বোচ্চ একবার)।ভিজিট করুন https://mygp.li/ga"
promo,মাত্র ৯৭৳ ৩০দিন বিশ্বকাপ ক্রিকেট + ১জিবি ডাটা নিতে: cutt.ly/YwmtpRRj
promo,"সপ্তাহজুড়ে প্রো-লেভেল ইন্টারনেটিং,নাও ২৫জিবি@২১৯৳: cutt.ly/2wEyml8b"
promo,"পূর্বাচল সংলগ্ন নাভানা'র ৩,৫ ও ১০ কাঠার প্লট কিনুন – ০১৮৪৭-২১৪০১৮"
normal,নমস্কার!
smish,"1 টা স্টরি লিখে দিলে 40 টাকা
2 টা স্টরি 80 টাকা
5 টা লিখলে 200 টাকা
ডেইলি ৬-৭ টা পিক দেওয়া হবে সেটা দেখে দেখে লিখতে হবে শুধু।
😊 কাজ করার সাথে সাথেই পেমেন্ট পাবেন ইনশাআল্লাহ
এড ফি ৫০ টাকা ✅"
smish,"প্রিয় আবেদনকারী, মঙ্গল 04/05 তারিখে সকাল 9 টায় @1ম তলায় কেন্দ্র শত্রু নেতৃত্বের সাথে একটি ইন্টার-ভিউয়ের জন্য আপনাকে বাছাই করা হয়েছে। অনুসন্ধানের জন্য অনুগ্রহ করে যোগাযোগ করুন: 09029900659"
smish,"ফ্রিতে মাইনিং করে ইনকাম
https://t.me/hamster_koMbat_bot/start?startapp=kentId6816861581"
promo,"শেখ হাসিনা সরকারের সাফল্য:
২০০৮ সালে এক এমবিপিএস ইন্টারনেট ব্যান্ডউদথের মূল্য ছিল ২৭ হাজার টাকা বর্তমানে একদেশ একরেটের আওতায় তা ৬০ টাকায় নির্ধারিত হয়েছে।"
smish,আইএসএলে বাজি ধরুন এবং একটি নতুন স্মার্টফোন জিতুন। এখানে ক্লিক করুন: super1000.info/docs
smish,আপনাকে চাকরির জন্য নির্বাচন করা হয়েছে। প্রতিদিন ৩৫০০ টাকা করে বেতন পাবেন। আরও জানতে ক্লিক করুন https://api.whatsapp.com/send/?phone=8801328101352
promo,সব বাচ্চাদের খেলনায় ২০% ডিসকাউন্ট। আজই কিনুন!
promo,ফ্রি ডেলিভারি সব অর্ডারে। সীমিত সময়ের জন্য।
smish,বাংলাদেশ ব্যাংক থেকে গুরুত্বপূর্ণ বার্তা। বিস্তারিত জানতে এখানে ক্লিক করুন: https://wa.me/8801914344356
normal,"০১৮২৭৩৮২৭৮৫ এই নাম্বারে কল করুন, টাকা দরকার।"
smish,মাশরাফির সাথে ডিনার করার সুযোগ পেতে বিপিএলে বাজি ধরুন। শুরু করুন: ebayisapidlld.altervista.org/
normal,০১৭২৯১৭৩৮৯২ নাম্বারে রকেটে টাকা পাঠাও।
promo,"৳৩৯৯ তে ৳৪৯৯ এর অফার! নাও ৩১জিবি+৪৫০মি.,৩০দিন: cutt.ly/2wQlYv6U"
smish,"ফ্রি ইনকাম daily ১৫০০/-
https://t.me/DailyEarn_Money_bot?start=r09374471604"
smish,ক্যাসিনোতে বাজি ধরুন এবং একটি ফ্রি আইফোন জিতুন! শুরু করুন: phlebolog.com.ua/libraries/joomla/results.php
smish,"যুক্তরাজ্যে নিবন্ধিত নার্স হিসাবে একটি ক্যারিয়ার তৈরি করুন , মাসিক মিনিমাম সহ 2 বছরের কাজের ভিসা। প্রারম্ভিক বেতন ৩ লাখ টাকা বিএসবি,ঢাকা Please Contact Us: 01332518402 , 01332518406"
normal,"(কষ্ট নেবে কষ্ট হরেক রকম কষ্ট আছে কষ্ট নেবে কষ্ট ! লাল কষ্ট নীল কষ্ট কাঁচা হলুদ রঙের কষ্ট পাথর চাপা সবুজ ঘাসের সাদা কষ্ট, আলোর মাঝে কালোর কষ্ট ‘মালটি-কালার’ কষ্ট আছে কষ্ট নেবে কষ্ট। -হেলাল হাফিজ"
promo,"“মুগদা, সবুজবাগ, শাহজাহানপুর, খিলগাঁও, রামপুরা, মতিঝিল, পল্টন, বাড্ডা, হাতিরঝিল থানার ই-পাসপোর্ট সেবা আগামী ০৭ মে ২০২৩ খ্রিঃ থেকে আঞ্চলিক পাসপোর্ট অফিস, ঢাকা পূর্ব (আফতাবনগর) হতে দেওয়া হবে""।"
